cargoPK,cargoNome,cargoJornadaTrabalho,cargoNivel
1,PROGRAMADOR DE SISTEMAS DE INFORMACAO,20H,JUNIOR
3,PROGRAMADOR DE SISTEMAS DE INFORMACAO,20H,SENIOR
4,PROGRAMADOR DE SISTEMAS DE INFORMACAO,40H,JUNIOR
5,PROGRAMADOR DE SISTEMAS DE INFORMACAO,40H,PLENO
6,PROGRAMADOR DE SISTEMAS DE INFORMACAO,40H,SENIOR
7,PROGRAMADOR DE SISTEMAS DE INFORMACAO,44H,JUNIOR
8,PROGRAMADOR DE SISTEMAS DE INFORMACAO,44H,PLENO
9,PROGRAMADOR DE SISTEMAS DE INFORMACAO,44H,SENIOR
10,PROGRAMADOR DE SISTEMAS DE INFORMACAO,20H,JUNIOR
11,PROGRAMADOR DE SISTEMAS DE INFORMACAO,20H,PLENO
13,PROGRAMADOR DE SISTEMAS DE INFORMACAO,40H,JUNIOR
14,PROGRAMADOR DE SISTEMAS DE INFORMACAO,40H,PLENO
15,PROGRAMADOR DE SISTEMAS DE INFORMACAO,40H,SENIOR
17,PROGRAMADOR DE SISTEMAS DE INFORMACAO,44H,PLENO
18,PROGRAMADOR DE SISTEMAS DE INFORMACAO,44H,SENIOR
19,PROGRAMADOR DE SISTEMAS DE INFORMACAO,20H,JUNIOR
20,PROGRAMADOR DE SISTEMAS DE INFORMACAO,20H,PLENO
21,PROGRAMADOR DE SISTEMAS DE INFORMACAO,20H,SENIOR
22,PROGRAMADOR DE SISTEMAS DE INFORMACAO,40H,JUNIOR
23,PROGRAMADOR DE SISTEMAS DE INFORMACAO,40H,PLENO
24,PROGRAMADOR DE SISTEMAS DE INFORMACAO,40H,SENIOR
25,PROGRAMADOR DE SISTEMAS DE INFORMACAO,44H,JUNIOR
26,PROGRAMADOR DE SISTEMAS DE INFORMACAO,44H,PLENO
28,ANALISTA DE SUPORTE TECNICO,20H,JUNIOR
29,ANALISTA DE SUPORTE TECNICO,20H,PLENO
30,ANALISTA DE SUPORTE TECNICO,20H,SENIOR
31,ANALISTA DE SUPORTE TECNICO,40H,JUNIOR
32,ANALISTA DE SUPORTE TECNICO,40H,PLENO
33,ANALISTA DE SUPORTE TECNICO,40H,SENIOR
34,ANALISTA DE SUPORTE TECNICO,44H,JUNIOR
35,ANALISTA DE SUPORTE TECNICO,44H,PLENO
37,ANALISTA DE SUPORTE TECNICO,20H,JUNIOR
38,ANALISTA DE SUPORTE TECNICO,20H,PLENO
39,ANALISTA DE SUPORTE TECNICO,20H,SENIOR
40,ANALISTA DE SUPORTE TECNICO,40H,JUNIOR
41,ANALISTA DE SUPORTE TECNICO,40H,PLENO
42,ANALISTA DE SUPORTE TECNICO,40H,SENIOR
44,ANALISTA DE SUPORTE TECNICO,44H,PLENO
45,ANALISTA DE SUPORTE TECNICO,44H,SENIOR
46,ANALISTA DE SUPORTE TECNICO,20H,JUNIOR
47,ANALISTA DE SUPORTE TECNICO,20H,PLENO
48,ANALISTA DE SUPORTE TECNICO,20H,SENIOR
49,ANALISTA DE SUPORTE TECNICO,40H,JUNIOR
50,ANALISTA DE SUPORTE TECNICO,40H,PLENO
51,ANALISTA DE SUPORTE TECNICO,40H,SENIOR
52,ANALISTA DE SUPORTE TECNICO,44H,JUNIOR
54,ANALISTA DE SUPORTE TECNICO,44H,SENIOR
55,ANALISTA DE SUPORTE TECNICO,20H,JUNIOR
56,ANALISTA DE SUPORTE TECNICO,20H,PLENO
57,ANALISTA DE SUPORTE TECNICO,20H,SENIOR
58,ANALISTA DE SUPORTE TECNICO,40H,JUNIOR
59,ANALISTA DE SUPORTE TECNICO,40H,PLENO
60,ANALISTA DE SUPORTE TECNICO,40H,SENIOR
61,ANALISTA DE SUPORTE TECNICO,44H,JUNIOR
65,ANALISTA DE SUPORTE TECNICO,20H,PLENO
66,ANALISTA DE SUPORTE TECNICO,20H,SENIOR
67,ANALISTA DE SUPORTE TECNICO,40H,JUNIOR
68,ANALISTA DE SUPORTE TECNICO,40H,PLENO
69,ANALISTA DE SUPORTE TECNICO,40H,SENIOR
70,ANALISTA DE SUPORTE TECNICO,44H,JUNIOR
71,ANALISTA DE SUPORTE TECNICO,44H,PLENO
72,ANALISTA DE SUPORTE TECNICO,44H,SENIOR
73,ANALISTA DE SUPORTE TECNICO,20H,JUNIOR
74,ANALISTA DE SUPORTE TECNICO,20H,PLENO
75,ANALISTA DE SUPORTE TECNICO,20H,SENIOR
76,ANALISTA DE SUPORTE TECNICO,40H,JUNIOR
77,ANALISTA DE SUPORTE TECNICO,40H,PLENO
78,ANALISTA DE SUPORTE TECNICO,40H,SENIOR
79,ANALISTA DE SUPORTE TECNICO,44H,JUNIOR
80,ANALISTA DE SUPORTE TECNICO,44H,PLENO
81,ANALISTA DE SUPORTE TECNICO,44H,SENIOR
82,ANALISTA DE SUPORTE DE BANCO DE DADOS,20H,JUNIOR
83,ANALISTA DE SUPORTE DE BANCO DE DADOS,20H,PLENO
84,ANALISTA DE SUPORTE DE BANCO DE DADOS,20H,SENIOR
85,ANALISTA DE SUPORTE DE BANCO DE DADOS,40H,JUNIOR
86,ANALISTA DE SUPORTE DE BANCO DE DADOS,40H,PLENO
87,ANALISTA DE SUPORTE DE BANCO DE DADOS,40H,SENIOR
88,ANALISTA DE SUPORTE DE BANCO DE DADOS,44H,JUNIOR
89,ANALISTA DE SUPORTE DE BANCO DE DADOS,44H,PLENO
90,ANALISTA DE SUPORTE DE BANCO DE DADOS,44H,SENIOR
91,ANALISTA DE SUPORTE DE BANCO DE DADOS,20H,JUNIOR
92,ANALISTA DE SUPORTE DE BANCO DE DADOS,20H,PLENO
93,ANALISTA DE SUPORTE DE BANCO DE DADOS,20H,SENIOR
94,ANALISTA DE SUPORTE DE BANCO DE DADOS,40H,JUNIOR
95,ANALISTA DE SUPORTE DE BANCO DE DADOS,40H,PLENO
96,ANALISTA DE SUPORTE DE BANCO DE DADOS,40H,SENIOR
97,ANALISTA DE SUPORTE DE BANCO DE DADOS,44H,JUNIOR
98,ANALISTA DE SUPORTE DE BANCO DE DADOS,44H,PLENO
99,ANALISTA DE SUPORTE DE BANCO DE DADOS,44H,SENIOR
100,ANALISTA DE SUPORTE DE BANCO DE DADOS,20H,JUNIOR
101,ANALISTA DE SUPORTE DE BANCO DE DADOS,20H,PLENO
102,ANALISTA DE SUPORTE DE BANCO DE DADOS,20H,SENIOR
103,ANALISTA DE SUPORTE DE BANCO DE DADOS,40H,JUNIOR
104,ANALISTA DE SUPORTE DE BANCO DE DADOS,40H,PLENO
105,ANALISTA DE SUPORTE DE BANCO DE DADOS,40H,SENIOR
106,ANALISTA DE SUPORTE DE BANCO DE DADOS,44H,JUNIOR
107,ANALISTA DE SUPORTE DE BANCO DE DADOS,44H,PLENO
108,ANALISTA DE SUPORTE DE BANCO DE DADOS,44H,SENIOR
109,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,20H,JUNIOR
110,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,20H,PLENO
111,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,20H,SENIOR
112,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,40H,JUNIOR
113,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,40H,PLENO
114,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,40H,SENIOR
115,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,44H,JUNIOR
116,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,44H,PLENO
117,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,44H,SENIOR
118,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,20H,JUNIOR
119,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,20H,PLENO
120,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,20H,SENIOR
121,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,40H,JUNIOR
122,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,40H,PLENO
123,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,40H,SENIOR
124,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,44H,JUNIOR
125,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,44H,PLENO
126,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,44H,SENIOR
127,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,20H,JUNIOR
128,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,20H,PLENO
129,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,20H,SENIOR
130,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,40H,JUNIOR
131,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,40H,PLENO
132,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,40H,SENIOR
133,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,44H,JUNIOR
134,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,44H,PLENO
135,ADMINISTRADOR DE SISTEMAS OPERACIONAIS DE REDE,44H,SENIOR
136,PROGRAMADOR FRONT-END,20H,JUNIOR
137,PROGRAMADOR FRONT-END,20H,PLENO
138,PROGRAMADOR FRONT-END,20H,SENIOR
139,PROGRAMADOR FRONT-END,40H,JUNIOR
140,PROGRAMADOR FRONT-END,40H,PLENO
141,PROGRAMADOR FRONT-END,40H,SENIOR
142,PROGRAMADOR FRONT-END,44H,JUNIOR
143,PROGRAMADOR FRONT-END,44H,PLENO
144,PROGRAMADOR FRONT-END,44H,SENIOR
145,PROGRAMADOR FRONT-END,20H,JUNIOR
146,PROGRAMADOR FRONT-END,20H,PLENO
147,PROGRAMADOR FRONT-END,20H,SENIOR
148,PROGRAMADOR FRONT-END,40H,JUNIOR
149,PROGRAMADOR FRONT-END,40H,PLENO
150,PROGRAMADOR FRONT-END,40H,SENIOR
151,PROGRAMADOR FRONT-END,44H,JUNIOR
152,PROGRAMADOR FRONT-END,44H,PLENO
153,PROGRAMADOR FRONT-END,44H,SENIOR
154,PROGRAMADOR FRONT-END,20H,JUNIOR
155,PROGRAMADOR FRONT-END,20H,PLENO
156,PROGRAMADOR FRONT-END,20H,SENIOR
157,PROGRAMADOR FRONT-END,40H,JUNIOR
158,PROGRAMADOR FRONT-END,40H,PLENO
159,PROGRAMADOR FRONT-END,40H,SENIOR
160,PROGRAMADOR FRONT-END,44H,JUNIOR
161,PROGRAMADOR FRONT-END,44H,PLENO
162,PROGRAMADOR FRONT-END,44H,SENIOR
163,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,20H,JUNIOR
164,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,20H,PLENO
165,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,20H,SENIOR
166,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,40H,JUNIOR
167,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,40H,PLENO
168,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,40H,SENIOR
169,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,44H,JUNIOR
170,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,44H,PLENO
171,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,44H,SENIOR
172,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,20H,JUNIOR
173,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,20H,PLENO
174,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,20H,SENIOR
175,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,40H,JUNIOR
176,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,40H,PLENO
177,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,40H,SENIOR
178,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,44H,JUNIOR
179,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,44H,PLENO
180,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,44H,SENIOR
181,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,20H,JUNIOR
182,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,20H,PLENO
183,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,20H,SENIOR
184,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,40H,JUNIOR
185,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,40H,PLENO
186,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,40H,SENIOR
187,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,44H,JUNIOR
188,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,44H,PLENO
189,PROGRAMADOR DE SISTEMAS DE COMPUTADOR,44H,SENIOR
190,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,20H,JUNIOR
191,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,20H,PLENO
192,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,20H,SENIOR
193,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,40H,JUNIOR
194,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,40H,PLENO
195,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,40H,SENIOR
196,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,44H,JUNIOR
197,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,44H,PLENO
198,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,44H,SENIOR
199,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,20H,JUNIOR
200,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,20H,PLENO
201,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,20H,SENIOR
202,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,40H,JUNIOR
203,PROGRAMADOR DE APLICATIVOS EDUCACIONAIS E DE ENTRETENIMENTO,40H,PLENO
