idCliente,clienteNomeFantasia,clienteSetor,clienteCidade,clienteEstadoSigla
1,VIA FOOD,BEBIDAS E ALIMENTOS,SAO PAULO,SP
2,VIA PIZZA,BEBIDAS E ALIMENTOS,SAO PAULO,SP
3,VIA JAPA,BEBIDAS E ALIMENTOS,SAO PAULO,SP
4,VIA VEG,BEBIDAS E ALIMENTOS,SAO PAULO,SP
5,VIA DRINK,BEBIDAS E ALIMENTOS,SAO CARLOS,SP
6,VIA BEER,BEBIDAS E ALIMENTOS,MARILIA,SP
7,VIA PASTA,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
8,VIA FRIENDS,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
10,VIA LIFE,SAUDE,BELO HORIZONTE,MG
11,VIA MED,SAUDE,UBERLANDIA,MG
12,VIA PREVENT,SAUDE,SALVADOR,CE
13,VIA SENIOR,SAUDE,RECIFE,PE
14,VIA HAPPY,SAUDE,FORTALEZA,CE
15,VIA TECH,TECNOLOGIA,CURITIBA,PR
16,VIA MOBILE,TECNOLOGIA,FLORIANOPOLIS,SC
17,VIA APP,TECNOLOGIA,PORTO ALEGRE,RS
19,VIA CRED,CREDITO,CAMPO GRANDE,MS
20,VIA VEST,VESTUARIO,SAO PAULO,SP
21,VIA MALHA,VESTUARIO,SAO PAULO,SP
22,SR. FOOD,BEBIDAS E ALIMENTOS,SAO PAULO,SP
23,SR. PIZZA,BEBIDAS E ALIMENTOS,SAO PAULO,SP
25,SR. VEG,BEBIDAS E ALIMENTOS,SAO CARLOS,SP
26,SR. DRINK,BEBIDAS E ALIMENTOS,MARILIA,SP
27,SR. BEER,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
29,SR. FRIENDS,BEBIDAS E ALIMENTOS,RIO DE JANEIRO,RJ
31,SR. LIFE,SAUDE,UBERLANDIA,MG
32,SR. MED,SAUDE,SALVADOR,CE
33,SR. PREVENT,SAUDE,RECIFE,PE
34,SR. SENIOR,SAUDE,FORTALEZA,CE
35,SR. HAPPY,SAUDE,CURITIBA,PR
36,SR. TECH,TECNOLOGIA,FLORIANOPOLIS,SC
37,SR. MOBILE,TECNOLOGIA,PORTO ALEGRE,RS
38,SR. APP,TECNOLOGIA,MANAUS,AM
