equipePK,nome,filialNome,filialCidade
1,APP - DESKTOP,SAO PAULO - AV. PAULISTA,SAO PAULO
2,APP - DESKTOP,RIO DE JANEIRO - BARRA DA TIJUCA,RIO DE JANEIRO
3,WEB,SAO PAULO - AV. PAULISTA,SAO PAULO
4,WEB,RIO DE JANEIRO - BARRA DA TIJUCA,RIO DE JANEIRO
5,WEB,CAMPO GRANDE - CENTRO,CAMPO GRANDE
6,APP - MOBILE,SAO PAULO - AV. PAULISTA,SAO PAULO
7,APP - MOBILE,RIO DE JANEIRO - BARRA DA TIJUCA,RIO DE JANEIRO
8,APP - MOBILE,CAMPO GRANDE - CENTRO,CAMPO GRANDE
9,BI & ANALYTICS,SAO PAULO - AV. PAULISTA,SAO PAULO
10,BI & ANALYTICS,RECIFE - CENTRO,RECIFE
