equipePK,clientePK,dataPK,receita,quantidadeNegociacoes
2,9,22,11564.75,1
2,24,11,17990.5,1
2,28,21,16335.9,1
1,30,23,8495.55,1
2,43,30,24748.75,1
2,46,21,18591.8,1
1,51,25,21783.05,1
1,77,4,11182.95,1
1,83,13,8412.1,1
2,106,17,7694.700000000001,1
1,114,6,11324.75,1
2,125,15,9619.1,1
1,167,18,8182.95,1
2,172,18,34065.3,1
2,173,17,10979.55,1
1,176,5,11498.95,1
1,177,18,9526.25,1
2,179,14,11652.0,1
1,180,10,22634.6,1
1,188,7,18438.55,1
2,190,29,17515.8,1
2,195,3,5355.900000000001,1
2,198,25,25791.7,1
2,18,34,14567.4,1
2,24,54,19324.8,1
2,28,47,24978.7,1
2,30,57,9416.65,1
2,33,33,12024.75,1
2,37,53,16417.9,1
2,43,41,38403.25,1
1,51,54,5878.400000000001,1
2,57,35,13300.45,1
2,77,38,13462.7,1
2,79,34,6685.299999999999,1
1,86,35,8365.95,1
1,93,46,23430.5,1
1,98,37,14084.7,1
1,114,33,6033.65,1
1,125,33,23946.85,1
2,129,59,5794.25,1
2,139,47,22969.2,1
2,167,59,43561.65,1
1,173,33,65737.0,1
1,176,33,6548.35,1
1,181,42,7874.55,1
2,188,34,29136.4,1
2,190,59,36908.95,1
2,191,40,37976.85,1
1,198,57,10279.65,1
1,206,51,8193.0,1
