funcPK,equipePK,dataPK,cargoPK,salario,quantidadeLancamentos
147,2,5,64,1559.94,1
124,2,5,329,8102.77,1
175,1,5,328,2532.51,1
171,1,5,245,7882.7,1
148,2,5,65,4404.59,1
5,2,5,112,2226.66,1
128,1,5,341,6157.04,1
82,2,5,43,1585.51,1
28,1,5,253,1594.02,1
46,1,5,390,9880.16,1
91,2,5,233,10931.47,1
176,2,5,241,2005.49,1
172,1,5,351,14218.28,1
155,1,5,121,2002.57,1
19,2,5,223,1778.26,1
94,1,5,394,2505.1,1
26,2,5,350,9162.46,1
55,2,5,313,3215.53,1
29,1,5,62,4128.44,1
181,1,5,249,11082.75,1
118,1,5,169,1741.33,1
174,1,5,183,14734.1,1
141,1,5,63,10162.84,1
188,1,5,386,14995.02,1
112,2,5,419,4320.96,1
34,1,5,16,1633.22,1
69,1,5,68,4256.5,1
62,1,5,422,5297.77,1
190,2,5,254,4083.85,1
17,2,5,2,5161.85,1
10,2,5,395,5545.2,1
199,2,5,116,4703.6,1
76,1,5,383,4875.68,1
106,2,5,234,9611.98,1
179,1,5,12,21059.63,1
111,2,5,396,10078.44,1
43,1,5,74,10589.74,1
173,2,5,53,6579.73,1
183,2,5,240,23969.94,1
53,2,5,229,3635.55,1
42,1,5,177,12777.09,1
116,2,5,343,5859.58,1
30,2,5,408,17965.17,1
66,1,5,115,3051.27,1
35,2,5,412,1793.43,1
195,2,5,306,14363.61,1
104,2,5,36,14184.62,1
73,1,5,163,2068.1,1
48,1,5,270,14992.14,1
33,1,5,27,9169.9,1
147,2,36,64,1559.94,1
124,2,36,329,8102.77,1
175,1,36,328,2532.51,1
171,1,36,245,7882.7,1
148,2,36,65,4404.59,1
5,2,36,112,2226.66,1
128,1,36,341,6157.04,1
82,2,36,43,1585.51,1
28,1,36,253,1594.02,1
46,1,36,390,9880.16,1
91,2,36,233,10931.47,1
176,2,36,241,2005.49,1
172,1,36,351,14218.28,1
155,1,36,121,2002.57,1
19,2,36,223,1778.26,1
94,1,36,394,2505.1,1
26,2,36,350,9162.46,1
55,2,36,313,3215.53,1
29,1,36,62,4128.44,1
181,1,36,249,11082.75,1
118,1,36,169,1741.33,1
174,1,36,183,14734.1,1
141,1,36,63,10162.84,1
188,1,36,386,14995.02,1
112,2,36,419,4320.96,1
34,1,36,16,1633.22,1
69,1,36,68,4256.5,1
62,1,36,422,5297.77,1
190,2,36,254,4083.85,1
17,2,36,2,5161.85,1
