Date,Open,High,Low,Close,Volume
2024-01-02,36.56,37.37,35.97,36.5,46500922
2024-01-03,36.47,37.32,36.55,36.9,34391451
2024-01-04,37.07,37.68,36.29,36.79,49045468
2024-01-05,37.25,38.17,36.67,37.3,74047560
2024-01-08,38.54,39.03,38.01,38.52,71378562
2024-01-09,38.28,39.16,37.93,38.34,25851224
2024-01-10,38.05,38.93,37.71,38.15,51264673
2024-01-11,39.47,40.45,38.56,39.41,26822411
2024-01-12,39.69,41.09,39.48,40.03,32920169
2024-01-15,39.33,40.0,38.91,39.65,69293000
2024-01-16,40.44,40.83,39.18,40.08,18978702
2024-01-17,40.16,40.76,38.58,39.71,77779431
2024-01-18,39.21,40.24,38.99,39.34,56723416
2024-01-19,39.3,40.86,38.27,39.53,32104132
2024-01-22,38.14,39.09,36.95,38.0,18597706
2024-01-23,36.53,37.12,36.22,36.62,53060986
2024-01-24,35.7,36.55,34.82,36.17,15605409
2024-01-25,35.02,36.43,33.95,35.36,24462743
2024-01-26,35.84,35.95,35.25,35.62,26377787
2024-01-29,35.05,35.89,34.26,34.89,72181134
2024-01-30,33.29,35.19,32.49,33.76,36827621
2024-01-31,34.65,35.92,33.73,34.93,56892167
2024-02-01,34.48,35.52,34.23,34.75,50280122
2024-02-02,34.98,35.88,34.26,34.81,35057988
2024-02-05,33.19,34.52,32.93,33.67,23197295
2024-02-06,32.83,34.18,32.35,33.23,64395289
2024-02-07,33.62,34.75,32.28,33.32,20809041
2024-02-08,32.08,33.16,31.66,32.4,27546501
2024-02-09,32.85,34.15,31.84,32.7,53641700
2024-02-12,31.96,33.61,31.02,32.22,21155579
2024-02-13,31.58,32.51,31.64,31.98,15403119
2024-02-14,31.24,31.88,30.9,31.5,63892876
2024-02-15,33.2,33.4,31.82,32.98,31556827
2024-02-16,33.33,33.29,31.6,32.97,73544068
2024-02-19,32.46,32.54,31.22,32.13,45495692
2024-02-20,32.69,33.91,31.85,32.79,47027216
2024-02-21,31.98,32.2,31.38,31.81,77887025
2024-02-22,31.68,32.66,31.14,31.98,61263335
2024-02-23,30.2,31.72,29.47,30.41,48957164
2024-02-26,29.75,29.68,28.76,29.35,65837727
2024-02-27,29.01,30.78,28.88,29.5,16950013
2024-02-28,29.68,30.73,29.34,30.09,76344092
2024-02-29,29.94,30.67,29.91,30.23,16132658
2024-03-01,29.67,31.28,29.45,30.14,67316857
2024-03-04,29.58,30.95,29.35,29.9,52877058
2024-03-05,28.8,30.07,28.03,28.72,32434167
2024-03-06,28.06,29.32,27.7,28.14,40177127
2024-03-07,28.16,29.03,26.4,27.77,41376033
2024-03-08,28.94,29.26,27.61,28.62,68811239
2024-03-11,28.73,29.4,27.78,28.89,28881178
2024-03-12,27.24,28.68,26.23,27.48,36981132
2024-03-13,27.62,29.01,26.84,27.74,21026988
2024-03-14,27.52,28.92,27.03,27.43,30590661
2024-03-15,26.66,27.69,25.95,26.89,39203479
2024-03-18,27.5,28.13,26.38,27.38,17366610
2024-03-19,28.11,29.43,27.01,28.2,52734735
2024-03-20,29.0,29.66,28.13,28.95,24456807
2024-03-21,28.22,29.7,27.83,28.28,61860379
2024-03-22,27.82,29.36,27.39,28.03,44342048
2024-03-25,28.75,29.11,27.56,28.3,19684346
2024-03-26,29.34,30.28,28.0,29.08,49012730
2024-03-27,28.33,29.9,27.71,28.69,32824559
2024-03-28,28.91,28.96,27.81,28.54,37496936
2024-03-29,27.65,29.04,26.18,27.66,40271052
2024-04-01,27.09,27.61,25.67,26.7,53175082
2024-04-02,27.65,28.64,26.77,27.35,33532908
2024-04-03,28.37,29.12,28.02,28.44,57827096
2024-04-04,27.9,29.75,27.9,28.38,50284660
2024-04-05,28.95,29.95,28.58,29.18,50501225
2024-04-08,29.51,29.78,28.98,29.47,66900771
2024-04-09,29.09,30.35,28.44,28.96,54669950
2024-04-10,29.01,29.66,28.61,29.25,64352346
2024-04-11,30.12,31.16,29.97,30.48,26667877
2024-04-12,30.78,31.89,29.07,30.45,22393979
2024-04-15,32.18,33.14,31.3,31.7,25115078
2024-04-16,29.63,30.59,28.67,29.6,43506244
2024-04-17,29.93,31.32,29.47,30.26,40214698
2024-04-18,30.1,31.17,28.85,30.33,50177004
2024-04-19,29.61,30.74,29.66,30.09,68551929
2024-04-22,30.57,30.85,29.38,30.16,68021432
2024-04-23,28.19,29.68,27.11,28.57,73507250
2024-04-24,28.48,29.6,27.06,28.4,32486878
2024-04-25,28.45,29.93,27.4,28.68,72195030
2024-04-26,29.92,31.12,29.26,29.87,37098345
2024-04-29,29.6,29.86,28.94,29.45,31620937
2024-04-30,29.14,29.7,27.71,28.81,46984287
2024-05-01,28.11,28.77,26.98,28.4,45038378
2024-05-02,28.65,30.1,28.17,29.14,57413492
2024-05-03,29.04,30.23,28.41,29.4,54227037
2024-05-06,29.38,30.35,28.34,28.98,25528294
2024-05-07,29.76,30.11,28.17,29.39,34369886
2024-05-08,29.56,29.9,28.94,29.46,19810833
2024-05-09,30.34,30.71,29.55,30.24,38480675
2024-05-10,29.85,30.89,28.87,29.68,54972097
2024-05-13,29.09,30.45,28.5,29.41,32219277
2024-05-14,29.51,29.52,28.51,29.1,43500556
2024-05-15,27.85,28.33,27.49,27.93,47073692
2024-05-16,28.05,29.31,27.14,28.17,52316107
2024-05-17,28.4,28.77,27.73,28.38,42427110
2024-05-20,27.93,29.67,27.38,28.38,39192961
2024-05-21,27.86,29.34,27.7,28.19,39859871
2024-05-22,27.3,27.46,26.18,27.06,40654796
2024-05-23,26.3,27.12,25.78,26.72,47435245
2024-05-24,26.55,27.93,26.09,26.45,74844250
2024-05-27,25.56,26.56,25.11,25.81,68412976
2024-05-28,25.57,26.42,25.22,25.68,70702760
2024-05-29,25.79,27.28,25.62,26.0,44263888
2024-05-30,27.37,28.95,26.02,27.51,42783527
2024-05-31,27.87,29.13,26.96,27.65,57106078
2024-06-03,27.66,29.06,26.59,27.86,22281505
2024-06-04,27.87,28.55,27.19,27.8,53679227
2024-06-05,26.24,26.66,25.14,26.26,53965695
2024-06-06,26.4,27.47,25.03,26.24,52518167
2024-06-07,26.73,27.26,25.28,26.29,41540396
2024-06-10,28.49,29.07,27.39,28.26,76076130
2024-06-11,27.82,29.5,27.32,28.11,29812143
2024-06-12,27.88,28.78,27.63,28.35,71825157
2024-06-13,28.08,29.21,26.9,28.32,23989138
2024-06-14,27.48,27.69,26.08,27.38,62364509
2024-06-17,27.85,29.16,26.84,28.3,27037574
2024-06-18,28.9,29.27,28.45,28.9,58020873
2024-06-19,29.63,29.97,28.35,29.53,59520680
2024-06-20,28.64,29.25,27.38,28.81,57378463
2024-06-21,30.2,31.01,29.41,29.93,66524577
2024-06-24,28.42,30.01,28.43,28.81,74043646
2024-06-25,28.86,30.28,28.09,29.28,21555035
2024-06-26,31.26,32.48,30.04,31.03,47735803
2024-06-27,30.24,30.99,28.93,30.24,47737614
2024-06-28,29.97,30.42,29.31,29.78,58607261
2024-07-01,29.79,31.2,28.61,29.86,30886372
2024-07-02,29.21,30.03,28.92,29.46,52622748
2024-07-03,28.54,29.68,27.72,28.22,47456981
2024-07-04,28.57,28.58,27.77,28.27,23067987
2024-07-05,27.61,28.88,26.14,27.42,16656671
2024-07-08,27.57,28.15,26.7,27.8,37458851
2024-07-09,27.16,28.44,26.14,27.07,37922481
2024-07-10,28.17,29.24,27.58,28.31,57081603
2024-07-11,27.27,29.17,26.33,27.68,32560282
2024-07-12,27.84,27.81,26.65,27.42,58497663
2024-07-15,27.71,29.03,26.79,28.07,36677072
2024-07-16,27.54,28.55,26.26,27.09,38017995
2024-07-17,27.22,28.2,26.52,27.27,35833173
2024-07-18,28.01,29.38,27.46,28.32,38394704
2024-07-19,27.07,28.16,26.37,27.03,32375113
2024-07-22,27.55,28.03,25.98,27.18,35718453
2024-07-23,27.62,28.44,26.49,27.39,24161408
2024-07-24,28.32,29.01,27.43,28.01,62439893
2024-07-25,27.18,28.4,25.64,27.02,64566169
2024-07-26,26.16,26.32,25.21,25.97,67374647
2024-07-29,26.73,27.02,25.43,26.38,77242810
2024-07-30,26.37,28.06,25.23,26.62,52214417
2024-07-31,26.81,28.19,25.77,26.82,67234545
2024-08-01,26.82,27.95,26.66,27.1,39796429
2024-08-02,27.04,27.59,25.12,26.55,35353727
2024-08-05,27.18,27.37,25.69,26.74,32941166
2024-08-06,26.51,27.5,26.27,26.97,15549148
2024-08-07,26.61,27.26,25.93,26.4,51328139
2024-08-08,28.33,28.62,26.65,27.9,44844218
2024-08-09,27.95,29.27,27.23,28.27,36845218
2024-08-12,27.39,27.71,26.38,27.32,17773939
2024-08-13,28.27,29.32,26.48,27.85,50490172
2024-08-14,26.6,28.55,25.82,27.07,51989387
2024-08-15,27.9,28.84,27.22,27.7,53491142
2024-08-16,28.42,29.56,27.95,28.62,28426716
2024-08-19,28.39,28.64,27.37,27.97,42911050
2024-08-20,29.21,30.02,27.55,28.74,53710304
2024-08-21,29.51,30.19,28.73,29.07,62718021
2024-08-22,29.7,30.23,28.75,29.73,68508974
2024-08-23,31.6,32.63,30.03,31.24,33331726
2024-08-26,31.39,32.34,29.7,31.05,41996639
2024-08-27,30.26,31.88,29.73,30.44,35540338
2024-08-28,30.06,30.9,28.44,29.73,25774986
2024-08-29,28.62,30.12,28.65,29.08,64050169
2024-08-30,29.12,29.82,27.7,29.02,19421590
2024-09-02,29.02,30.71,28.84,29.29,51089369
2024-09-03,29.13,30.85,28.73,29.51,26546081
2024-09-04,29.75,30.52,28.91,30.17,49366893
2024-09-05,30.38,30.51,29.7,30.18,69758684
2024-09-06,31.19,32.1,30.77,31.35,44221379
2024-09-09,31.36,32.41,29.97,31.14,33495440
2024-09-10,32.88,34.79,32.15,33.31,51265058
2024-09-11,33.63,34.29,32.74,33.81,74644300
2024-09-12,33.17,34.14,32.0,33.13,59924392
2024-09-13,32.56,33.03,31.32,32.27,46670310
2024-09-16,32.48,34.12,32.06,32.66,63958734
2024-09-17,32.61,33.79,31.77,32.48,73237814
2024-09-18,33.44,34.36,32.53,33.05,72641756
2024-09-19,33.55,34.29,32.04,33.43,41552476
2024-09-20,33.1,34.17,32.37,33.37,21440010
2024-09-23,32.21,33.32,31.91,32.69,23674163
2024-09-24,31.85,31.85,30.63,31.48,65775839
2024-09-25,30.64,32.46,29.68,31.12,33279553
2024-09-26,32.18,33.09,31.33,31.81,45914222
2024-09-27,32.01,33.48,30.98,31.98,52041101
2024-09-30,31.42,32.48,30.07,30.98,63548947
2024-10-01,31.42,32.09,30.09,31.12,74640853
2024-10-02,31.93,32.65,31.11,31.43,42209162
2024-10-03,30.57,32.15,29.37,30.72,47790042
2024-10-04,31.11,32.16,29.42,30.84,52277378
2024-10-07,30.79,31.49,29.91,30.89,72396048
2024-10-08,29.96,30.82,28.84,29.98,58429245
2024-10-09,30.39,30.71,28.85,30.26,59808939
2024-10-10,31.08,32.15,29.56,30.71,15224695
2024-10-11,32.06,32.61,31.1,31.58,59924507
2024-10-14,32.69,32.99,31.43,32.42,68773276
2024-10-15,31.24,32.43,30.29,31.32,41267668
2024-10-16,30.49,31.61,29.76,30.57,29063918
2024-10-17,31.22,31.71,29.8,30.98,72884623
2024-10-18,31.13,31.83,29.97,31.39,73454884
2024-10-21,31.41,32.91,30.39,31.8,73093498
2024-10-22,34.74,35.81,34.05,34.89,63943187
2024-10-23,35.13,36.57,34.9,35.34,44933317
2024-10-24,36.05,37.17,34.77,36.25,58353746
